id	rate
12029	5.254
12031	437.396
12033	131.237
12035	42.059
12037	4.485
12039	16.875
12041	6.290
12043	4.683
12045	5.593
12047	4.632
12049	9.588
12051	14.911
12053	62.428
12055	33.593
12057	668.191
12059	6.311
12061	58.397
12063	16.516
12065	5.112
12067	2.981
12069	135.405
12071	314.489
12073	142.305
12075	15.723
12077	2.497
12079	6.940
12081	160.708
12083	122.737
12085	67.416
12086	1.266.271
12087	45.029
12089	35.000
12091	86.494
12093	16.692
12095	664.537
12097	151.162
12099	673.022
12101	206.075
12103	454.537
12105	265.414
12107	25.024
12109	109.742
12111	126.040
12113	70.777
12115	172.551
12117	229.346
12119	26.958
12121	17.019
12123	8.290
12125	4.554
12127	230.585
12129	13.492
12131	26.154
12133	9.068
13001	8.403
13003	3.690
13005	4.475
13007	1.035
13009	16.987
13011	8.133
13013	35.111
13015	45.226
13017	5.121
13019	6.589
13021	64.649
13023	4.122
13025	6.483
13027	6.472
13029	15.607
13031	33.423
13033	8.521
13035	9.694
13037	1.967
13039	19.125
13043	4.588
13045	49.525
13047	30.376
13049	4.430
13051	128.064
13053	1.932
13055	9.998
13057	117.709
13059	55.158
13061	762
13063	119.829
13065	2.612
13067	388.001
13069	16.457
13071	19.119
13073	66.425
13075	6.988
13077	65.922
13079	5.311
13081	8.491
13083	7.563
13085	10.636
13087	10.598
13089	359.867
13091	6.436
13093	4.521
13095	35.454
13097	65.695
13099	4.033
13101	1.771
13103	26.312
13105	7.134
13107	7.699
13109	4.465
13111	9.897
13113	52.709
13115	40.523
13117	102.260
13119	9.075
13121	496.594
13123	11.200
13125	1.175
13127	36.132
13129	23.825
13131	9.824
13133	6.429
13135	440.152
13137	18.124
13139	90.651
13141	2.300
13143	11.377
13145	14.952
13147	10.112
13149	4.708
13151	101.202
13153	63.013
13155	2.861
13157	31.110
13159	6.229
13161	5.831
13163	6.006
13165	2.890
13167	3.691
13169	12.961
13171	7.272
13173	3.563
13175	17.716
13177	13.564
13179	23.545
13181	3.178
13183	6.688
13185	47.913
13187	14.705
13189	8.205
13191	5.525
13193	4.155
13195	12.243
13197	3.168
13199	8.161
13201	2.530
13205	7.993
13207	12.142
13209	3.391
13211	8.124
13213	15.221
13215	73.481
13217	46.324
13219	17.261
13221	6.505
13223	74.254
13225	10.545
13227	13.481
13229	7.737
13231	7.946
13233	16.851
13235	3.800
13237	7.257
13239	746
13241	5.901
13243	2.215
13245	79.559
13247	40.549
13249	1.970
13251	4.826
13253	2.841
13255	25.572
13257	10.401
13259	1.950
13261	11.763
13263	2.555
13265	550
13267	8.698
13269	2.859
13271	4.677
13273	3.402
13275	16.216
13277	17.164
13279	10.834
13281	3.918
13283	2.488
13285	34.414
13287	2.934
13289	2.746
13291	9.547
13293	10.445
13295	28.217
13297	40.446
13299	13.909
13301	2.501
13303	6.625
13305	10.729
13307	865
13309	1.551
13311	13.521
13313	43.703
13315	2.513
13317	3.625
13319	3.473
13321	8.359
15001	85.993
15003	457.834
15007	33.795
15009	81.882
16001	214.958
16003	1.486
16005	40.773
16007	2.565
16009	3.690
16011	21.182
16013	11.260
16015	2.922
16017	17.271
16019	49.653
16021	4.531
16023	1.205
16025	606
16027	87.856
